countrycode,countryname,countrycode_s,countryname_s,department,World,IMF member Countries and Territories(198),IMF member Countries(191),EMDEs by Source of Export Earnings: Fuel,EMDEs by Source of Export Earnings: Manufactures,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",EMDEs by External Financing: Net Debtors with Arrears and/or Reschedulings,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),EMDEs by Source of Export Earnings: Nonfuel,Advanced Economies(AE),G7,G20,Emerging Market and Middle-Income Economies(EM),Emerging Asia,Sub-Saharan Africa (SSA): Oil Exporters,Sub-Saharan Africa (SSA): Middle-Income,Sub-Saharan Africa (SSA): Low-Income,Emerging Market and Developing Economies(EMDE),Low-Income Developing Countries (LIDC),Advanced Asia,Latin America and the Caribbean (LAC),EMDEs by External Financing: Net Creditors,EMDEs by Source of Export Earnings: Diversified,Middle East and Central Asia,Middle East and Central Asia: Oil Exporters,Middle East and Central Asia: Oil Importers,Middle East and North Africa (MENA),Emerging and Developing Asia,ASEAN-5,Sub-Saharan Africa (SSA),EMDEs by External Financing: Net Debtors,Heavily Indebted Poor Countries (HIPC),Emerging and Developing Europe,Advanced Europe,North America,Caucasus and Central Asia (CCA),Euro Area (EA) – aggregate of member states,European Union (EU),"Other Advanced Economies (Advanced Economies excluding U.S., Euro Area countries, and Japan)",Central America,Caribbean,Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Other Emerging and Developing Asia,Sub-Sahara Africa Excluding South Sudan,South America (WEO),Asia,"Middle East, North Africa, Afghanistan, and Pakistan",Emerging and Developing Asia excl. China and India,Sub-Sahara excl. Nigeria and South Africa,Emerging Market and Developing Economies by External Financing: Net Debtors without Arrears and/or Rescheduling During 2019-23,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel (excl. China),Europe,SPR-Emerging Market and Middle-Income Economies(EM),SPR-Low-Income Developing Countries (LIC)
NOR,Norway,142,Norway,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
OMN,Oman,449,Oman,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,,,1,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,1,,,1,
PAK,Pakistan,564,Pakistan,MCD,1,1,1,,1,,,,1,,,,1,,,,,1,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,1,
PLW,"Palau, Republic of",565,Palau,APD,1,1,1,,,1,,,1,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,1,
PAN,Panama,283,Panama,WHD,1,1,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,1,
PNG,Papua New Guinea,853,Papua New Guinea,APD,1,1,1,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,1
PRY,Paraguay,288,Paraguay,WHD,1,1,1,,,,,1,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,
PER,Peru,293,Peru,WHD,1,1,1,,,,,1,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,
PHL,Philippines,566,Philippines,APD,1,1,1,,,1,,,1,,,,1,1,,,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,1,,1,1,,1,
POL,"Poland, Republic of",964,Poland,EUR,1,1,1,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,1,1,1,
PRT,Portugal,182,Portugal,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
PRI,Puerto Rico,359,Puerto Rico,WHD,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,
QAT,Qatar,453,Qatar,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
ROU,Romania,968,Romania,EUR,1,1,1,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,1,1,1,
RUS,Russian Federation,922,Russia,EUR,1,1,1,,,,,,1,,,1,1,,,,,1,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,
RWA,Rwanda,714,Rwanda,AFR,1,1,1,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
WSM,Samoa,862,Samoa,APD,1,1,1,,,1,1,,1,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,,1,,,1
SMR,"San Marino, Republic of",135,San Marino,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
STP,"São Tomé and Príncipe, Democratic Republic of",716,São Tomé and Príncipe,AFR,1,1,1,,,1,1,,1,,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
SAU,Saudi Arabia,456,Saudi Arabia,MCD,1,1,1,1,,,,,,,,1,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
SEN,Senegal,722,Senegal,AFR,1,1,1,,,,,,1,,,,,,,1,,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
SRB,"Serbia, Republic of",942,Serbia,EUR,1,1,1,,,,,,1,,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,1,
SYC,Seychelles,718,Seychelles,AFR,1,1,1,,,1,,,1,,,,1,,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1,1,,1,
SLE,Sierra Leone,724,Sierra Leone,AFR,1,1,1,,,,,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
SGP,Singapore,576,Singapore,APD,1,1,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,,
SXM,"Sint Maarten, Kingdom of the Netherlands",352,Sint Maarten,WHD,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,Slovak Republic,936,Slovak Republic,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
SVN,"Slovenia, Republic of",961,Slovenia,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
SLB,Solomon Islands,813,Solomon Islands,APD,1,1,1,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,1
SOM,Somalia,726,Somalia,MCD,1,1,1,,,,1,1,1,,,,,,,,,1,1,,,,,1,,1,1,,,,1,1,,,,,,,,,,,,,,,1,,,,1,,,1
ZAF,South Africa,199,South Africa,AFR,1,1,1,,,,,1,1,,,1,1,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,
SSD,"South Sudan, Republic of",733,South Sudan,AFR,1,1,1,1,,,1,,,,,,,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,1
ESP,Spain,184,Spain,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
LKA,Sri Lanka,524,Sri Lanka,APD,1,1,1,,,,1,,1,,,,1,,,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,,1,,1,
KNA,St. Kitts and Nevis,361,St. Kitts and Nevis,WHD,1,1,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,1,
LCA,St. Lucia,362,St. Lucia,WHD,1,1,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,1
VCT,St. Vincent and the Grenadines,364,St. Vincent and the Grenadines,WHD,1,1,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,1
SDN,Sudan,732,Sudan,MCD,1,1,1,,,,1,1,1,,,,,,,,,1,1,,,,,1,,1,1,,,,1,1,,,,,,,,,,,,,,,1,,,,1,,,1
SUR,Suriname,366,Suriname,WHD,1,1,1,,,,1,1,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,1,
SWE,Sweden,144,Sweden,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,1,,
CHE,Switzerland,146,Switzerland,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
SYR,Syrian Arab Republic,463,Syria,MCD,1,1,1,,,,,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
TWN,Taiwan Province of China,528,Taiwan Province of China,APD,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,
TJK,"Tajikistan, Republic of",923,Tajikistan,MCD,1,1,1,,,,,1,1,,,,,,,,,1,1,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,1
TZA,"Tanzania, United Republic of",738,Tanzania,AFR,1,1,1,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
THA,Thailand,578,Thailand,APD,1,1,1,,1,,,,1,,,,1,1,,,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,,1,,1,
TLS,"Timor-Leste, Democratic Republic of",537,Timor-Leste,APD,1,1,1,1,,,,,,,,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1
TGO,Togo,742,Togo,AFR,1,1,1,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
TON,Tonga,866,Tonga,AFR,1,1,1,,,1,,,1,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,1
TTO,Trinidad and Tobago,369,Trinidad and Tobago,WHD,1,1,1,,1,,,,1,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,
TUN,Tunisia,744,Tunisia,MCD,1,1,1,,,1,,,1,,,,1,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,1,
TUR,"Türkiye, Republic of",186,Türkiye,EUR,1,1,1,,1,,,,1,,,1,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,1,
TKM,Turkmenistan,925,Turkmenistan,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
TUV,Tuvalu,869,Tuvalu,APD,1,1,1,,,,,1,1,,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,1
UGA,Uganda,746,Uganda,AFR,1,1,1,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
UKR,Ukraine,926,Ukraine,EUR,1,1,1,,,,1,,1,,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,1,1,
ARE,United Arab Emirates,466,United Arab Emirates,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
GBR,United Kingdom,112,United Kingdom,EUR,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,
USA,United States,111,United States,WHD,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
URY,Uruguay,298,Uruguay,WHD,1,1,1,,,,,1,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,
UZB,"Uzbekistan, Republic of",927,Uzbekistan,MCD,1,1,1,,,,,,1,,,,,,,,,1,1,,,1,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1
VUT,Vanuatu,846,Vanuatu,APD,1,1,1,,,1,,,1,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,1
VEN,"Venezuela, República Bolivariana de",299,Venezuela,WHD,1,1,1,1,,,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
VNM,Vietnam,582,Vietnam,APD,1,1,1,,1,,,,1,,,,1,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,
WBG,West Bank and Gaza,487,West Bank and Gaza,MCD,1,,,,,,,,,,,,1,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,1,,,1,
YEM,"Yemen, Republic of",474,Yemen,MCD,1,1,1,,,,1,1,1,,,,,,,,,1,1,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,1
ZMB,Zambia,754,Zambia,AFR,1,1,1,,,,1,1,1,,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
ZWE,Zimbabwe,698,Zimbabwe,AFR,1,1,1,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,,1,,,1
